Query,Label
s25 ultra,Yes
samsung,No
Samsung Galaxy S25,Yes
oppo,No
iphone,No
Samsung Galaxy A55 5G,Yes
Samsung Galaxy Mega 9,No
Samsung Galaxy M35 5G,Yes
Samsung Galaxy M35 5G,Yes
Xiaomi 13 Ultra,No
Samsung Galaxy A55 5G,Yes
Samsung Z10 Flip,No
Samsung Galaxy S25 Ultra,Yes
Samsung Galaxy A35 5G,Yes
realme,No
Samsung Galaxy S25 Ultra,Yes
m35,Yes
samsung,No
Samsung Galaxy F06 5G,Yes
samsung,No
Samsung Galaxy Z Flip6,Yes
f55,Yes
Samsung Galaxy S25 Ultra,Yes
s25 ultra,Yes
xiaomi,No
m55,Yes
m55,Yes
oneplus,No
Samsung Galaxy F55 5G,Yes
Xiaomi 13 Ultra,No
Samsung Galaxy S25,Yes
Samsung Galaxy S25,Yes
a35,Yes
s25 ultra,Yes
f06,Yes
samsung,No
Samsung Galaxy A55 5G,Yes
f06,Yes
f55,Yes
Samsung Galaxy A35 5G,Yes
Oppo Find X6,No
iphone,No
Samsung Galaxy S25 Ultra,Yes
Samsung Galaxy Z Fold6,Yes
iphone,No
realme,No
a55,Yes
samsung,No
Samsung Galaxy S99 Ultra,No
m35,Yes
Samsung Galaxy S25,Yes
a55,Yes
a35,Yes
Samsung Galaxy A35 5G,Yes
s25 ultra,Yes
s25,Yes
samsung,No
Samsung J20,No
s25,Yes
samsung,No
Samsung Galaxy S25 Ultra,Yes
Samsung Galaxy Z Flip6,Yes
s25 ultra,Yes
Samsung Galaxy F06 5G,Yes
Realme GT Neo,No
Samsung Galaxy A55 5G,Yes
Samsung Galaxy A35 5G,Yes
Samsung Galaxy A35 5G,Yes
OnePlus 12,No
Samsung Galaxy S25 Ultra,Yes
xiaomi,No
Samsung Galaxy F06 5G,Yes
a55,Yes
Samsung Galaxy F06 5G,Yes
google,No
z flip6,Yes
a55,Yes
Samsung Galaxy Z Fold6,Yes
Xiaomi 13 Ultra,No
oneplus,No
Samsung Galaxy M35 5G,Yes
z fold6,Yes
a35,Yes
f55,Yes
z fold6,Yes
a35,Yes
s25,Yes
z fold6,Yes
Samsung Galaxy S99 Ultra,No
Samsung Galaxy M55 5G,Yes
Samsung Galaxy Fold X,No
Samsung Galaxy Mega 9,No
m35,Yes
Samsung Galaxy Z Fold6,Yes
f06,Yes
Samsung Galaxy M55 5G,Yes
z flip6,Yes
samsung,No
Samsung Galaxy M35 5G,Yes
Samsung Galaxy R90,No
m35,Yes
Samsung Galaxy F55 5G,Yes
z flip6,Yes
f06,Yes
Samsung Galaxy SX,No
Google Pixel 8,No
Samsung Galaxy Z Fold6,Yes
Samsung Galaxy A55 5G,Yes
Samsung Galaxy S25 Ultra,Yes
Samsung Galaxy F06 5G,Yes
Samsung Galaxy A55 5G,Yes
